Process ID: 23280
Status: dead
Hyperparameters: {"step_size": 0.001, "batch_size": 128, "rounds": 600, "dataset_name": "mnist", "cuda_core": -1, "training_mode": "entire", "report_sampling_rate": 5, "measurement_sampling_rate": 399, "model": "cnn", "config": [32], "K": 1, "communication_delay": 0, "n_workers": 1, "beta": 0.5, "gamma": 1.0, "prox_lambda": 0.0, "block_accuracy_factor": 0.5, "reports_dir": "mnist_entire_long"}

[2025-11-24 16:50:08] Frame initialization took 8.23 seconds
[2025-11-24 16:50:08] Total number of parameters: 10,474
[2025-11-24 16:50:08] Started the training loop
[2025-11-24 16:50:08] Total epochs: 600
[2025-11-24 16:50:09] Starting measurement units
[2025-11-24 16:50:09] Finished measurement units , took 0.00 seconds
[2025-11-24 16:50:09] Time 0.005: Energy = 2.297149658203125, Accuracy = 0.11, ComputeTimeShare = 0.0
[2025-11-24 16:50:10] Time 0.01: Energy = 2.2910408973693848, Accuracy = 0.19, ComputeTimeShare = 0.0
[2025-11-24 16:50:11] Time 0.015: Energy = 2.285928726196289, Accuracy = 0.16, ComputeTimeShare = 0.0
[2025-11-24 16:50:12] Time 0.02: Energy = 2.2826929092407227, Accuracy = 0.2, ComputeTimeShare = 0.0
[2025-11-24 16:50:13] Time 0.025: Energy = 2.274376392364502, Accuracy = 0.16, ComputeTimeShare = 0.0
[2025-11-24 16:50:13] Time 0.03: Energy = 2.265411376953125, Accuracy = 0.16, ComputeTimeShare = 0.0
[2025-11-24 16:50:14] Time 0.035: Energy = 2.2565228939056396, Accuracy = 0.17, ComputeTimeShare = 0.0
[2025-11-24 16:50:15] Time 0.04: Energy = 2.240602493286133, Accuracy = 0.19, ComputeTimeShare = 0.0
[2025-11-24 16:50:15] Time 0.045: Energy = 2.227555751800537, Accuracy = 0.21, ComputeTimeShare = 0.0
[2025-11-24 16:50:16] Time 0.05: Energy = 2.2194857597351074, Accuracy = 0.2, ComputeTimeShare = 0.0
[2025-11-24 16:50:17] Time 0.055: Energy = 2.2035510540008545, Accuracy = 0.19, ComputeTimeShare = 0.0
[2025-11-24 16:50:18] Time 0.06: Energy = 2.1870205402374268, Accuracy = 0.19, ComputeTimeShare = 0.0
[2025-11-24 16:50:19] Time 0.065: Energy = 2.172636032104492, Accuracy = 0.21, ComputeTimeShare = 0.0
[2025-11-24 16:50:20] Time 0.07: Energy = 2.174773693084717, Accuracy = 0.21, ComputeTimeShare = 0.0
[2025-11-24 16:50:21] Time 0.075: Energy = 2.1460843086242676, Accuracy = 0.22, ComputeTimeShare = 0.0
[2025-11-24 16:50:22] Time 0.08: Energy = 2.13278865814209, Accuracy = 0.21, ComputeTimeShare = 0.0
[2025-11-24 16:50:22] Time 0.085: Energy = 2.126002550125122, Accuracy = 0.22, ComputeTimeShare = 0.0
[2025-11-24 16:50:23] Time 0.09: Energy = 2.1131370067596436, Accuracy = 0.22, ComputeTimeShare = 0.0
[2025-11-24 16:50:24] Time 0.095: Energy = 2.098304033279419, Accuracy = 0.23, ComputeTimeShare = 0.0
[2025-11-24 16:50:25] Time 0.1: Energy = 2.0904734134674072, Accuracy = 0.23, ComputeTimeShare = 0.0
[2025-11-24 16:50:26] Time 0.105: Energy = 2.086073875427246, Accuracy = 0.21, ComputeTimeShare = 0.0
[2025-11-24 16:50:27] Time 0.11: Energy = 2.0715787410736084, Accuracy = 0.21, ComputeTimeShare = 0.0
[2025-11-24 16:50:28] Time 0.115: Energy = 2.07035493850708, Accuracy = 0.23, ComputeTimeShare = 0.0
[2025-11-24 16:50:29] Time 0.12: Energy = 2.0405969619750977, Accuracy = 0.25, ComputeTimeShare = 0.0
[2025-11-24 16:50:30] Time 0.125: Energy = 2.035292625427246, Accuracy = 0.26, ComputeTimeShare = 0.0
[2025-11-24 16:50:31] Time 0.13: Energy = 2.0234718322753906, Accuracy = 0.26, ComputeTimeShare = 0.0
